scheme_code,scheme_name,net_asset_value,date
119550,Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth,391.4867,03-Feb-2026
120438,Axis Banking & PSU Debt Fund - Direct Plan - Growth Option,2802.3374,03-Feb-2026
152162,Bajaj Finserv Banking and PSU Fund-Direct Plan- Growth,11.8463,03-Feb-2026
121279,Bandhan Banking and PSU Fund - Direct Growth,26.0882,03-Feb-2026
150505,Canara Robeco Banking and PSU Debt Fund- Direct Plan- Growth Option,12.5026,03-Feb-2026
124175,DSP Banking & PSU Debt Fund - Direct Plan - Growth,25.5361,03-Feb-2026
140286,Edelweiss Banking and PSU Debt Fund - Direct Plan - Growth Option,26.2348,03-Feb-2026
129008,Franklin India Banking & PSU Debt Fund - Direct - Growth,24.3549,03-Feb-2026
128629,HDFC Banking and PSU Debt Fund - Growth Option - Direct Plan,24.6794,03-Feb-2026
151107,HSBC Banking and PSU Debt Fund - Direct Growth,26.3377,03-Feb-2026
120256,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth,35.274,03-Feb-2026
120444,Invesco India Banking and PSU Fund - Direct Plan -  Growth Option,2497.2776,03-Feb-2026
148534,ITI Banking & PSU Debt Fund - Direct Plan - Growth Option,13.7824,03-Feb-2026
123693,Kotak Banking and PSU Debt Direct - Growth,70.4227,03-Feb-2026
120338,LIC MF Banking & PSU Fund-Direct Plan-Growth,38.6739,03-Feb-2026
148419,Mirae Asset Banking and PSU Fund - Direct Plan - Growth,13.6216,03-Feb-2026
134547,Nippon India Banking and PSU  Fund- Direct Plan-Growth Plan- Growth Option,22.142,03-Feb-2026
134552,Nippon India Banking and PSU Fund- Direct Plan-Growth Plan- Bonus Option,22.1417,03-Feb-2026
125503,SBI BANKING & PSU FUND - Direct Plan - Growth,3413.0049,03-Feb-2026
134363,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Growth,11.7065,17-Mar-2017
119625,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Growth,44.9774,03-Feb-2026
148656,TRUSTMF BANKING & PSU FUND - DIRECT GROWTH,1340.166,03-Feb-2026
126940,UTI Banking & PSU Fund - Direct Plan - Growth Option,23.0893,03-Feb-2026
119533,Aditya Birla Sun Life Corporate Bond Fund - Growth - Direct Plan,117.8447,03-Feb-2026
141588,Axis Corporate Bond Fund - Direct Plan Growth,18.6801,03-Feb-2026
135916,BANDHAN Corporate Bond Fund - Direct Growth,20.3835,03-Feb-2026
150237,BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Growth Option,30.1435,03-Feb-2026
126685,CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - GROWTH OPTION,23.8855,03-Feb-2026
144646,DSP Corporate Bond Fund - Direct - Growth,16.8198,03-Feb-2026
118569,Franklin India Corporate Debt Fund - Direct - GROWTH,112.0262,03-Feb-2026
118987,HDFC Corporate Bond Fund - Growth Option - Direct Plan,34.1446,03-Feb-2026
150996,HSBC Corporate Bond Fund - Direct Growth,80.4458,03-Feb-2026
120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth,32.3402,03-Feb-2026
120497,Invesco India Corporate Bond Fund - Direct Plan - Growth,3507.1851,03-Feb-2026
133791,Kotak Corporate Bond Fund- Direct Plan- Growth Option,4068.3817,03-Feb-2026
148755,Mirae Asset Corporate Bond Fund Direct Growth Plan,13.397,03-Feb-2026
118807,Nippon India Corporate Bond Fund - Direct Plan Growth Plan - Bonus,46.369,03-Feb-2026
