,scheme_code,scheme_name,amc_name,plan_type,risk_profile,created_at,inception_date,scheme_category,scheme_subcategory,benchmark_index_code
399,120348,Invesco India Contra Fund - Direct Plan - Growth,Invesco Mutual Fund,Direct,Very High,2026-02-09 09:26:59.873932+00:00,02-01-2013,Equity Scheme,Contra Fund,NIFTY_500
400,119769,Kotak Contra Fund - Direct Plan - Growth,Kotak Mahindra Mutual Fund,Direct,Very High,2026-02-09 09:27:00.456312+00:00,02-01-2013,Equity Scheme,Contra Fund,NIFTY_500
401,119835,SBI CONTRA FUND - DIRECT PLAN - GROWTH,SBI Mutual Fund,Direct,Very High,2026-02-09 09:27:01.058333+00:00,02-01-2013,Equity Scheme,Contra Fund,NIFTY_500
402,119507,Aditya Birla Sun Life Dividend Yield Fund - Growth - Direct Plan,Aditya Birla Sun Life Mutual Fund,Direct,Very High,2026-02-09 09:27:01.661209+00:00,02-01-2013,Equity Scheme,Dividend Yield Fund,NIFTY_IT
403,152810,Baroda BNP Paribas Dividend Yield Fund - Direct Plan - Growth Option,Baroda BNP Paribas Mutual Fund,Direct,Very High,2026-02-09 09:27:02.005397+00:00,16-09-2024,Equity Scheme,Dividend Yield Fund,UNCLASSIFIED
404,118527,Franklin India Dividend Yield Fund - Direct - Growth,Franklin Templeton Mutual Fund,Direct,Very High,2026-02-09 09:27:02.534311+00:00,01-01-2013,Equity Scheme,Dividend Yield Fund,UNCLASSIFIED
405,148609,HDFC Dividend Yield Fund - Growth Option Direct Plan,HDFC Mutual Fund,Direct,Very High,2026-02-09 09:27:02.921089+00:00,18-12-2020,Equity Scheme,Dividend Yield Fund,UNCLASSIFIED
406,129312,ICICI Prudential Dividend Yield Equity Fund Direct Plan Growth Option,ICICI Prudential Mutual Fund,Direct,Very High,2026-02-09 09:27:03.510523+00:00,12-06-2014,Equity Scheme,Dividend Yield Fund,NIFTY_IT
407,154097,Kotak Dividend Yield Fund - Direct - Growth,Kotak Mahindra Mutual Fund,Direct,Very High,2026-02-09 09:27:03.868152+00:00,03-02-2026,Equity Scheme,Dividend Yield Fund,UNCLASSIFIED
408,152022,LIC MF Dividend Yield Fund-Direct Plan-Growth,LIC Mutual Fund,Direct,Very High,2026-02-09 09:27:04.242627+00:00,31-07-2023,Equity Scheme,Dividend Yield Fund,UNCLASSIFIED
409,151478,SBI Dividend Yield Fund - Direct Plan - Growth,SBI Mutual Fund,Direct,Very High,2026-02-09 09:27:04.605484+00:00,17-03-2023,Equity Scheme,Dividend Yield Fund,UNCLASSIFIED
410,149700,Sundaram Dividend Yield Fund (Formerly Known as Principal Dividend Yield Fund) - Direct Plan - Growth Option,Sundaram Mutual Fund,Direct,Very High,2026-02-09 09:27:04.979052+00:00,03-01-2022,Equity Scheme,Dividend Yield Fund,UNCLASSIFIED
411,148947,Tata Dividend Yield Fund-Direct Plan-Growth,Tata Mutual Fund,Direct,Very High,2026-02-09 09:27:05.400175+00:00,27-05-2021,Equity Scheme,Dividend Yield Fund,UNCLASSIFIED
412,120749,UTI-Dividend Yield Fund.-Growth-Direct,UTI Mutual Fund,Direct,Very High,2026-02-09 09:27:05.979300+00:00,02-01-2013,Equity Scheme,Dividend Yield Fund,UNCLASSIFIED
413,151165,360 ONE ELSS Tax Saver Nifty 50 Index Fund - Direct Plan - Growth,360 ONE Mutual Fund,Direct,Very High,2026-02-09 09:27:06.361836+00:00,02-01-2023,Equity Scheme,ELSS,NIFTY_50
414,119544,Aditya Birla Sun Life ELSS Tax Saver Fund - Growth - Direct Plan,Aditya Birla Sun Life Mutual Fund,Direct,Very High,2026-02-09 09:27:06.831551+00:00,02-01-2013,Equity Scheme,ELSS,NIFTY_500
415,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,Direct,Very High,2026-02-09 09:27:07.395516+00:00,02-01-2013,Equity Scheme,ELSS,NIFTY_500
416,153201,BAJAJ FINSERV ELSS TAX SAVER FUND - DIRECT - GROWTH,Bajaj Finserv Mutual Fund,Direct,Very High,2026-02-09 09:27:07.742957+00:00,03-02-2025,Equity Scheme,ELSS,NIFTY_500
417,118473,BANDHAN ELSS Tax Saver Fund - Direct Plan - Growth,Bandhan Mutual Fund,Direct,Very High,2026-02-09 09:27:08.253275+00:00,02-01-2013,Equity Scheme,ELSS,NIFTY_500
418,119351,BANK OF INDIA ELSS Tax Saver -Direct Plan- Growth,Bank of India Mutual Fund,Direct,Very High,2026-02-09 09:27:08.778941+00:00,02-01-2013,Equity Scheme,ELSS,NIFTY_500
419,150159,BARODA BNP PARIBAS ELSS Tax Saver Fund - Direct Plan - Growth Option,Baroda BNP Paribas Mutual Fund,Direct,Very High,2026-02-09 09:27:09.148478+00:00,14-03-2022,Equity Scheme,ELSS,NIFTY_500
420,118285,CANARA ROBECO ELSS TAX SAVER - DIRECT PLAN - GROWTH OPTION,Canara Robeco Mutual Fund,Direct,Very High,2026-02-09 09:27:09.621451+00:00,02-01-2013,Equity Scheme,ELSS,NIFTY_500
421,119242,DSP ELSS Tax Saver Fund - Direct Plan - Growth,DSP Mutual Fund,Direct,Very High,2026-02-09 09:27:10.455651+00:00,02-01-2013,Equity Scheme,ELSS,NIFTY_500
422,118620,Edelweiss ELSS Tax Saver Fund - Direct Plan-Growth Option,Edelweiss Mutual Fund,Direct,Very High,2026-02-09 09:27:11.067027+00:00,24-01-2013,Equity Scheme,ELSS,NIFTY_500
423,118540,Franklin India ELSS Tax Saver Fund - Direct - Growth,Franklin Templeton Mutual Fund,Direct,Very High,2026-02-09 09:27:11.587120+00:00,01-01-2013,Equity Scheme,ELSS,NIFTY_500
424,141808,Groww ELSS Tax Saver Fund (formerly known as Indiabulls Tax Savings Fund)- Direct Plan- Growth Option,Groww Mutual Fund,Direct,Very High,2026-02-09 09:27:12.080177+00:00,29-12-2017,Equity Scheme,ELSS,NIFTY_500
425,119060,HDFC ELSS Tax saver - Growth Option - Direct Plan,HDFC Mutual Fund,Direct,Very High,2026-02-09 09:27:12.618319+00:00,01-01-2013,Equity Scheme,ELSS,NIFTY_500
426,118929,HDFC Long Term Advantage Plan - Growth Option - Direct Plan,HDFC Mutual Fund,Direct,Very High,2026-02-09 09:27:13.105304+00:00,01-01-2013,Equity Scheme,ELSS,UNCLASSIFIED
427,151078,HSBC ELSS Tax saver Fund - Direct Growth,HSBC Mutual Fund,Direct,Very High,2026-02-09 09:27:13.477379+00:00,28-11-2022,Equity Scheme,ELSS,NIFTY_500
428,120079,HSBC Tax Saver Equity Fund - Growth Direct,HSBC Mutual Fund,Direct,Very High,2026-02-09 09:27:13.983683+00:00,02-01-2013,Equity Scheme,ELSS,NIFTY_IT
429,120592,ICICI Prudential ELSS Tax Saver Fund - Direct Plan - Growth,ICICI Prudential Mutual Fund,Direct,Very High,2026-02-09 09:27:14.442112+00:00,02-01-2013,Equity Scheme,ELSS,NIFTY_500
430,120416,Invesco India ELSS Tax Saver Fund - Direct Plan - Growth,Invesco Mutual Fund,Direct,Very High,2026-02-09 09:27:14.923462+00:00,02-01-2013,Equity Scheme,ELSS,NIFTY_500
431,147541,ITI ELSS Tax Saver Fund - Direct Plan - Growth Option,ITI Mutual Fund,Direct,Very High,2026-02-09 09:27:15.367252+00:00,25-10-2019,Equity Scheme,ELSS,NIFTY_500
432,120494,JM ELSS Tax Saver Fund (Direct) - Growth Option,JM Financial Mutual Fund,Direct,Very High,2026-02-09 09:27:15.847589+00:00,02-01-2013,Equity Scheme,ELSS,NIFTY_500
433,119773,Kotak ELSS Tax Saver Fund-Growth - Direct,Kotak Mahindra Mutual Fund,Direct,Very High,2026-02-09 09:27:16.409175+00:00,02-01-2013,Equity Scheme,ELSS,NIFTY_500
434,120270,LIC MF ELSS Tax Saver-Direct Plan-Growth,LIC Mutual Fund,Direct,Very High,2026-02-09 09:27:16.893787+00:00,02-01-2013,Equity Scheme,ELSS,NIFTY_500
435,139781,Mahindra Manulife ELSS Tax Saver Fund - Direct Plan -Growth,Mahindra Manulife Mutual Fund,Direct,Very High,2026-02-09 09:27:17.337943+00:00,19-10-2016,Equity Scheme,ELSS,NIFTY_500
436,135781,Mirae Asset ELSS Tax Saver Fund - Direct Plan - Growth,Mirae Asset Mutual Fund,Direct,Very High,2026-02-09 09:27:17.785410+00:00,29-12-2015,Equity Scheme,ELSS,NIFTY_500
437,133386,Motilal Oswal ELSS Tax Saver Fund - Direct Plan - Growth Option,Motilal Oswal Mutual Fund,Direct,Very High,2026-02-09 09:27:18.233288+00:00,22-01-2015,Equity Scheme,ELSS,NIFTY_500
438,135654,Navi ELSS Tax Saver Fund- Direct Plan- Growth Option,Navi Mutual Fund,Direct,Very High,2026-02-09 09:27:18.671573+00:00,31-12-2015,Equity Scheme,ELSS,NIFTY_500
439,151471,NAVI ELSS TAX SAVER NIFTY 50 INDEX FUND - DIRECT PLAN GROWTH,Navi Mutual Fund,Direct,Very High,2026-02-09 09:27:19.061695+00:00,21-03-2023,Equity Scheme,ELSS,NIFTY_50
440,118803,Nippon India ELSS Tax Saver Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Direct,Very High,2026-02-09 09:27:19.551927+00:00,02-01-2013,Equity Scheme,ELSS,NIFTY_500
441,151611,NJ ELSS Tax Saver Scheme Direct Growth,NJ Mutual Fund,Direct,Very High,2026-02-09 09:27:19.935517+00:00,19-06-2023,Equity Scheme,ELSS,NIFTY_500
442,135601,PGIM India ELSS Tax Saver Fund - Direct Plan - Growth Option,PGIM India Mutual Fund,Direct,Very High,2026-02-09 09:27:20.484615+00:00,14-12-2015,Equity Scheme,ELSS,NIFTY_500
443,147481,Parag Parikh ELSS Tax Saver Fund- Direct Growth,PPFAS Mutual Fund,Direct,Very High,2026-02-09 09:27:20.983698+00:00,26-07-2019,Equity Scheme,ELSS,NIFTY_500
444,120847,quant ELSS Tax Saver Fund - Growth Option - Direct Plan,quant Mutual Fund,Direct,Very High,2026-02-09 09:27:21.518427+00:00,07-01-2013,Equity Scheme,ELSS,NIFTY_500
445,111549,Quantum ELSS Tax Saver Fund - Direct Plan Growth Option,Quantum Mutual Fund,Direct,Very High,2026-02-09 09:27:22.137949+00:00,31-12-2008,Equity Scheme,ELSS,NIFTY_500
446,150838,Samco ELSS Tax Saver Fund - Direct Plan - Growth Option,Samco Mutual Fund,Direct,Very High,2026-02-09 09:27:22.504315+00:00,29-12-2022,Equity Scheme,ELSS,NIFTY_500
