scheme_code,scheme_name,amc,plan,risk_profile,created_at,started_date,eq_or_dt,type_of_mf
119550,Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth,Aditya Birla Sun Life Mutual Fund,Direct,Very High,2026-02-09 09:23:27.556760+00:00,02-01-2013,Debt Scheme,Banking and PSU Fund
120438,Axis Banking & PSU Debt Fund - Direct Plan - Growth Option,Axis Mutual Fund,Direct,Very High,2026-02-09 09:23:28.046142+00:00,02-01-2013,Debt Scheme,Banking and PSU Fund
152162,Bajaj Finserv Banking and PSU Fund-Direct Plan- Growth,Bajaj Finserv Mutual Fund,Direct,Very High,2026-02-09 09:23:28.397393+00:00,15-11-2023,Debt Scheme,Banking and PSU Fund
121279,Bandhan Banking and PSU Fund - Direct Growth,Bandhan Mutual Fund,Direct,Very High,2026-02-09 09:23:28.923424+00:00,08-03-2013,Debt Scheme,Banking and PSU Fund
150505,Canara Robeco Banking and PSU Debt Fund- Direct Plan- Growth Option,Canara Robeco Mutual Fund,Direct,Very High,2026-02-09 09:23:29.299342+00:00,24-08-2022,Debt Scheme,Banking and PSU Fund
124175,DSP Banking & PSU Debt Fund - Direct Plan - Growth,DSP Mutual Fund,Direct,Very High,2026-02-09 09:23:29.895150+00:00,16-09-2013,Debt Scheme,Banking and PSU Fund
140286,Edelweiss Banking and PSU Debt Fund - Direct Plan - Growth Option,Edelweiss Mutual Fund,Direct,Very High,2026-02-09 09:23:30.323036+00:00,28-11-2016,Debt Scheme,Banking and PSU Fund
129008,Franklin India Banking & PSU Debt Fund - Direct - Growth,Franklin Templeton Mutual Fund,Direct,Very High,2026-02-09 09:23:31.080677+00:00,25-04-2014,Debt Scheme,Banking and PSU Fund
128629,HDFC Banking and PSU Debt Fund - Growth Option - Direct Plan,HDFC Mutual Fund,Direct,Very High,2026-02-09 09:23:31.556167+00:00,26-03-2014,Debt Scheme,Banking and PSU Fund
151107,HSBC Banking and PSU Debt Fund - Direct Growth,HSBC Mutual Fund,Direct,Very High,2026-02-09 09:23:31.918748+00:00,28-11-2022,Debt Scheme,Banking and PSU Fund
120256,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth,ICICI Prudential Mutual Fund,Direct,Very High,2026-02-09 09:23:32.438216+00:00,14-03-2013,Debt Scheme,Banking and PSU Fund
120444,Invesco India Banking and PSU Fund - Direct Plan -  Growth Option,Invesco Mutual Fund,Direct,Very High,2026-02-09 09:23:32.964300+00:00,02-01-2013,Debt Scheme,Banking and PSU Fund
148534,ITI Banking & PSU Debt Fund - Direct Plan - Growth Option,ITI Mutual Fund,Direct,Very High,2026-02-09 09:23:33.488742+00:00,23-10-2020,Debt Scheme,Banking and PSU Fund
123693,Kotak Banking and PSU Debt Direct - Growth,Kotak Mahindra Mutual Fund,Direct,Very High,2026-02-09 09:23:33.968887+00:00,14-08-2013,Debt Scheme,Banking and PSU Fund
120338,LIC MF Banking & PSU Fund-Direct Plan-Growth,LIC Mutual Fund,Direct,Very High,2026-02-09 09:23:34.457922+00:00,03-01-2013,Debt Scheme,Banking and PSU Fund
